,type,seed,difficulty,open_lstm_m,input_lstm_m,last_value_loss,entropy
240,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,241,25,0.00021391034533735365,0.0002467417798470706,0.0007282873848453164,2.6904367543936933
241,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,242,25,0.0058203996159136295,0.005081436596810818,0.005767436232417822,2.7656804890367885
242,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,243,25,0.012570342049002647,0.01444617472589016,0.0027673381846398115,2.0900410921973553
243,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,244,25,0.03412848711013794,0.03245021775364876,0.004888506140559912,2.1367329127804946
244,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,245,25,0.013095722533762455,0.012495893985033035,0.0040787626057863235,2.2530120153697606
245,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,246,25,0.005871959961950779,0.011694172397255898,0.0016925412928685546,2.425075767467144
246,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,247,25,0.006462082266807556,0.009932641871273518,0.0017564247827976942,2.147370409838313
247,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,248,25,0.001956748077645898,0.007071499712765217,0.0035899418871849775,1.965217184308051
248,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,249,25,0.006551001220941544,0.006482698954641819,0.005030876491218805,2.4516501328469835
249,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,250,25,0.004224531818181276,0.004877444356679916,0.0005972922081127763,1.5023560507743774
250,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,251,26,0.0269513800740242,0.06875193864107132,0.0024739450309425592,2.291835177200222
251,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,252,26,0.006576427724212408,0.005289835389703512,0.0027422779239714146,2.340274309948298
252,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,253,26,0.021757520735263824,0.005106451455503702,0.006538712419569492,2.7623242459945367
253,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,254,26,0.029678020626306534,0.026919713243842125,0.003677713219076395,2.478477524941753
254,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,255,26,0.0028974958695471287,0.005115404725074768,0.002166417660191655,1.7093866354329381
255,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,256,26,0.0069600725546479225,0.014749031513929367,0.002488773548975587,1.8886820354625593
256,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,257,26,0.003539006458595395,0.005297756288200617,0.00293173361569643,2.5268443744768976
257,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,258,26,0.003093642881140113,0.0017424070974811912,0.002765662968158722,2.3142752963821858
258,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,259,26,0.004461308941245079,0.002556808991357684,0.0030110806692391634,2.366047437800727
259,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,260,26,0.02659793570637703,0.021919546648859978,0.0011570346541702747,1.9193138052789185
260,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,261,27,0.03128476440906525,0.023533012717962265,0.004838469438254833,2.7222246321505588
261,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,262,27,0.006782700307667255,0.003150208620354533,0.00399361364543438,2.054466101157737
262,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,263,27,0.005808985326439142,0.006566498428583145,0.005537439603358507,2.704884409703657
263,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,264,27,0.008953236974775791,0.007951226085424423,0.006212345324456692,2.6414605476162243
264,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,265,27,0.013638734817504883,0.006700905971229076,0.0025674884673208,2.2325029871482416
265,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,266,27,0.015973592177033424,0.008311141282320023,0.0024464307352900505,2.446995966692065
266,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,267,27,0.02183578535914421,0.041906073689460754,0.0037306940648704767,2.2050564052564656
267,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,268,27,0.024835549294948578,0.008403414860367775,0.0030498707201331854,2.751661165554577
268,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,269,27,0.016287973150610924,0.0036058167461305857,0.0030396145302802324,2.1039409761373244
269,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,270,27,0.06302204728126526,0.06614610552787781,0.0024785215500742197,2.435515423711973
270,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,271,28,0.023115914314985275,0.025907602161169052,0.0028645405545830727,2.086788540023859
271,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,272,28,0.007576005067676306,0.006924733053892851,0.005019497126340866,2.2670660667199187
272,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,273,28,0.003820638405159116,0.005476776510477066,0.002258382737636566,1.913767650403292
273,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,274,28,0.011329865083098412,0.01916217990219593,0.0017944138962775469,2.1893409745268393
