,type,seed,difficulty,dnn_xs,dnn_m,lstm_xs,open_lstm_m,last_value,regression,arima,entropy
23,size_1000_seed_24_config_piecewise_linear_num_seg_3_lookback_10,24,3,0.007505353540182114,0.012605946511030197,0.007699684705585241,0.002385315950959921,0.0009845751337707043,1.7841657007355848e-08,0.0023218716734986888,2.2010400685192644
24,size_1000_seed_25_config_piecewise_linear_num_seg_3_lookback_10,25,3,0.009166684933006763,0.07729800045490265,0.022754261270165443,0.002097252057865262,0.0014627879718318582,1.9149544368095294e-09,0.0009371921311690748,1.936805604652509
25,size_1000_seed_26_config_piecewise_linear_num_seg_3_lookback_10,26,3,0.020330455154180527,0.02116033062338829,0.019513651728630066,0.0011841299710795283,0.0014599725836887956,1.3371308649756664e-08,0.002189990644461426,2.2466840714292986
26,size_1000_seed_27_config_piecewise_linear_num_seg_3_lookback_10,27,3,0.003906782250851393,0.0323692224919796,0.06476638466119766,0.0155773451551795,0.003289473708719015,2.0503997790743967e-08,0.005544382226622244,2.4014310603902635
27,size_1000_seed_28_config_piecewise_linear_num_seg_3_lookback_10,28,3,0.01727762632071972,0.004398351069539785,0.03271516412496567,0.003461792366579175,0.0025228518061339855,6.367762890313599e-09,0.0019598118070036446,2.3837023048640056
28,size_1000_seed_29_config_piecewise_linear_num_seg_3_lookback_10,29,3,0.034769028425216675,0.03285409137606621,0.03967263549566269,0.028523974120616913,0.0013788220239803195,8.45285023873053e-05,0.0012863517876925928,2.1991753356607813
29,size_1000_seed_30_config_piecewise_linear_num_seg_3_lookback_10,30,3,0.020744195207953453,0.009606894105672836,0.007875639013946056,0.015807347372174263,0.0012291300809010863,1.8000602725054547e-08,0.002450172330298295,2.0718058430261443
30,size_1000_seed_31_config_piecewise_linear_num_seg_4_lookback_10,31,4,0.012932431884109974,0.07250524312257767,0.0510401614010334,0.0017018793150782585,0.0020924797281622887,7.979623926803649e-05,0.0014944220493442314,1.0790914348198908
31,size_1000_seed_32_config_piecewise_linear_num_seg_4_lookback_10,32,4,0.04227389395236969,0.06614766269922256,0.004864697344601154,0.01673872023820877,0.002366200787946582,1.645088197665956e-08,0.002205729804349291,2.0991281144676686
32,size_1000_seed_33_config_piecewise_linear_num_seg_4_lookback_10,33,4,0.012833910994231701,0.02941673994064331,0.006192672997713089,0.005636137910187244,0.0017081063706427813,3.0311445434194616e-09,0.0015430810873500727,2.080316400802826
33,size_1000_seed_34_config_piecewise_linear_num_seg_4_lookback_10,34,4,0.002261608839035034,0.007383352145552635,0.008479632437229156,0.003384409472346306,0.0010744803585112095,2.054373422155642e-08,0.002564341919018599,2.164422450992083
34,size_1000_seed_35_config_piecewise_linear_num_seg_4_lookback_10,35,4,0.008838214911520481,0.0097705302760005,0.0013029974652454257,0.00029390171403065324,0.00013405978097580373,1.8332502815495213e-10,0.0005116890886018798,1.9293147888523983
35,size_1000_seed_36_config_piecewise_linear_num_seg_4_lookback_10,36,4,0.0011071586050093174,0.004433699417859316,0.02951711229979992,0.002858365187421441,0.00061101617757231,1.5894571951946544e-08,0.0008715821522241807,1.9206676589154286
36,size_1000_seed_37_config_piecewise_linear_num_seg_4_lookback_10,37,4,0.02362818270921707,0.036260128021240234,0.09536591172218323,0.007671762723475695,0.0033444815780967474,2.002716067872612e-08,0.0018838547627043967,2.3313974241549786
37,size_1000_seed_38_config_piecewise_linear_num_seg_4_lookback_10,38,4,0.07217991352081299,0.00668643694370985,0.04046465456485748,0.001825031591579318,0.0019267820753157139,9.457270321311384e-09,0.0014713207342758495,2.112380681802513
38,size_1000_seed_39_config_piecewise_linear_num_seg_4_lookback_10,39,4,0.009202471002936363,0.03039245307445526,0.015495985746383667,0.014385242015123367,0.0018806367879733443,0.0004382626215616903,0.0016616779051342168,1.8278341132259313
39,size_1000_seed_40_config_piecewise_linear_num_seg_4_lookback_10,40,4,0.008576650172472,0.001132317236624658,0.002596072619780898,0.00017557859246153384,0.0001390814722981304,1.9947687797117197e-08,0.00025518348727525007,1.7425489217201233
40,size_1000_seed_41_config_piecewise_linear_num_seg_5_lookback_10,41,5,0.0029454915784299374,0.0030405365396291018,0.014754506759345531,0.0016022282652556896,0.0005559378769248724,0.0001243962049484182,0.0010794367422786366,1.5166202366727595
41,size_1000_seed_42_config_piecewise_linear_num_seg_5_lookback_10,42,5,0.011378832161426544,0.0034975875169038773,0.04680439084768295,0.002863796893507242,0.0014421641826629639,1.9868214962137642e-08,0.0014407177660017145,2.011492481870786
42,size_1000_seed_43_config_piecewise_linear_num_seg_5_lookback_10,43,5,0.02103285863995552,0.030738046392798424,0.004287355579435825,0.0011493819765746593,0.0005892589106224477,2.564629540159624e-10,0.0008220368408777232,2.0419740217203204
43,size_1000_seed_44_config_piecewise_linear_num_seg_5_lookback_10,44,5,0.010409005917608738,0.011458080261945724,0.03330341726541519,0.001100048772059381,0.001091875834390521,3.854433695410498e-09,0.0010145081887146456,1.8992530484018437
44,size_1000_seed_45_config_piecewise_linear_num_seg_5_lookback_10,45,5,0.004965784028172493,0.02101118117570877,0.01637566275894642,0.002873669844120741,0.0011023598490282893,0.0002475262482961016,0.0012155873531894878,1.1096023323613955
45,size_1000_seed_46_config_piecewise_linear_num_seg_5_lookback_10,46,5,0.010832097381353378,0.006885800510644913,0.04212607443332672,0.003179889405146241,0.00011127173638669774,0.00019493146737418088,0.00022371993899339526,2.06021006004952
46,size_1000_seed_47_config_piecewise_linear_num_seg_5_lookback_10,47,5,0.0046884785406291485,0.0007127858698368073,0.006870612036436796,0.0004382106417324394,9.41042962949723e-05,9.735425330476e-10,0.0005085890119607235,1.753544168161068
47,size_1000_seed_48_config_piecewise_linear_num_seg_5_lookback_10,48,5,0.0021435178350657225,0.008045417256653309,0.02578531950712204,0.008169415406882763,0.0011453496990725398,2.018610634979545e-08,0.002353966378114529,2.043747040459891
48,size_1000_seed_49_config_piecewise_linear_num_seg_5_lookback_10,49,5,0.02536027505993843,0.010936572216451168,0.028581183403730392,0.0004751354572363198,4.789948434336111e-05,1.8676122035543584e-08,0.00011225804015694507,2.1990488113664037
