,type,seed,difficulty,lstm,custom_lstm,small_lstm,very_small_lstm,last_value_loss,entropy
289,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,290,29,0.017961401492357254,0.012830342166125774,0.011908251792192459,0.01564900577068329,0.009099816903471947,2.135104154251869
290,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,291,30,0.009139864705502987,0.0031005360651761293,0.003396982327103615,0.0045608170330524445,0.0024143275804817677,2.457861913770243
291,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,292,30,0.009365476667881012,0.0047615813091397285,0.004751445725560188,0.015225726179778576,0.003299248404800892,2.60874028132007
292,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,293,30,0.05987505614757538,0.02423560433089733,0.037844885140657425,0.02573937363922596,0.014653949998319149,2.275534008643557
293,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,294,30,0.05197124555706978,0.02443361096084118,0.01745731756091118,0.040902864187955856,0.01534849964082241,2.259090043722885
294,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,295,30,0.04117908328771591,0.029233871027827263,0.054041538387537,0.018939748406410217,0.015608079731464386,2.363852231577863
295,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,296,30,0.02993854507803917,0.012714310549199581,0.2277107685804367,0.01974344439804554,0.010171996429562569,2.084548143473759
296,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,297,30,0.05860551819205284,0.0007797091966494918,0.004015001002699137,0.005406269337981939,0.0003716892097145319,2.4145797449045077
297,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,298,30,0.002757885493338108,0.0018599522300064564,0.005112835206091404,0.0014440095983445644,0.0005550289060920477,2.4033688329174354
298,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,299,30,0.09992126375436783,0.03456311672925949,0.06499610096216202,0.06401451677083969,0.02008393034338951,1.67338689690501
299,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,300,30,0.011109249666333199,0.005539811681956053,0.20005449652671814,0.022921733558177948,0.0040232646279037,2.2416903757710904
300,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,301,31,0.05636229366064072,0.02944220043718815,0.03608529642224312,0.08005465567111969,0.01753489300608635,2.3278664231170305
301,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,302,31,0.03628379851579666,0.018611403182148933,0.017177848145365715,0.03308938071131706,0.013278355821967125,2.279978558956386
302,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,303,31,0.03847917541861534,0.01452972274273634,0.20245254039764404,0.016170896589756012,0.008913395926356316,2.402854382004334
303,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,304,31,0.012199058197438717,0.009467702358961105,0.25831374526023865,0.015490412712097168,0.007988428696990013,2.3975025598065027
304,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,305,31,0.10441036522388458,0.020228737965226173,0.3824230134487152,0.05140504986047745,0.011047836393117905,2.075146959084424
305,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,306,31,0.035531409084796906,0.01907234638929367,0.021598784253001213,0.02296358533203602,0.018897054716944695,2.4913141617829324
306,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,307,31,0.023379161953926086,0.012970097362995148,0.013852464966475964,0.022806964814662933,0.01081752311438322,2.0981201024551366
307,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,308,31,0.014970184303820133,0.009952298365533352,0.2513062655925751,0.00873497873544693,0.006017149891704321,2.4684041358260878
308,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,309,31,0.040989283472299576,0.011886694468557835,0.013280672021210194,0.01991736702620983,0.008935942314565182,2.4382400402679063
309,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,310,31,0.031815074384212494,0.010850698687136173,0.00545489601790905,0.028192909434437752,0.004302880261093378,1.9514229753758496
310,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,311,32,0.04271852597594261,0.018784038722515106,0.012603605166077614,0.023650851100683212,0.011090554296970367,1.937936700370439
311,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,312,32,0.04737354442477226,0.014414000324904919,0.014913268387317657,0.03778228908777237,0.010794417932629585,2.171244636319572
312,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,313,32,0.011413997039198875,0.007344111334532499,0.007693416438996792,0.011005092412233353,0.006334275472909212,2.4591476853916854
313,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,314,32,0.0004911390133202076,0.0001093855535145849,0.0004360744496807456,0.004206259734928608,0.0,2.5487408922240893
314,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,315,32,0.05646585300564766,0.029623065143823624,0.028100447729229927,0.03344118222594261,0.02500840835273266,2.4440453747974056
315,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,316,32,0.025642290711402893,0.013317208737134933,0.019416099414229393,0.01374757569283247,0.011043143458664417,2.6267934830415185
316,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,317,32,0.055670060217380524,0.01666495017707348,0.0332990363240242,0.08778881281614304,0.008314716629683971,2.4238739499131774
317,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,318,32,0.04803173243999481,0.03485751152038574,0.02363499626517296,0.07874113321304321,0.018926406279206276,2.4011705476216094
318,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,319,32,0.03542238101363182,0.021103767678141594,0.27350613474845886,0.0383443608880043,0.01751069538295269,1.8640208763805193
319,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,320,32,0.011012516915798187,0.00814182497560978,0.26066848635673523,0.011165204457938671,0.007113547995686531,2.4857066035308257
320,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,321,33,0.06718014925718307,0.025664523243904114,0.027082297950983047,0.03846684843301773,0.022877860814332962,2.3451052722605383
321,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,322,33,0.030362091958522797,0.0157771036028862,0.041710808873176575,0.035116925835609436,0.01271149143576622,1.8248094701634883
322,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,323,33,0.03575313463807106,0.029582524672150612,0.018389679491519928,0.031128115952014923,0.01570412702858448,2.382201599335359
323,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,324,33,0.0510299876332283,0.011773807927966118,0.010856186971068382,0.01907285302877426,0.009516548365354538,2.381059440349245
324,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,325,33,3.4266711281816242e-06,3.7029385566711426e-05,0.0006698071956634521,0.0013656914234161377,0.0,2.430631975221755
325,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,326,33,0.025386935099959373,0.014820127747952938,0.013372879475355148,0.04671173542737961,0.011011796072125435,2.4662113595837374
326,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,327,33,0.019915271550416946,0.006090922746807337,0.009903255850076675,0.009888560511171818,0.005585089325904846,2.0757762101586565
327,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,328,33,0.031068459153175354,0.01320917159318924,0.007957142777740955,0.03636975958943367,0.006617771461606026,2.5003383074043257
328,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,329,33,0.08082744479179382,0.03519471362233162,0.025109611451625824,0.031781625002622604,0.022045733407139778,2.24771391307652
329,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,330,33,0.08968927711248398,0.030907128006219864,0.0350448377430439,0.04661666229367256,0.02795404940843582,2.2979408148644365
330,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,331,34,0.0011012810282409191,0.00039790570735931396,0.0034986482933163643,0.012350871227681637,0.0002230203099315986,2.29883521216783
331,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,332,34,0.014391401782631874,0.008009541779756546,0.008728895336389542,0.011516427621245384,0.006765700411051512,2.6383560368297463
332,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,333,34,0.027105679735541344,0.011067909188568592,0.32923251390457153,0.04592883214354515,0.009103781543672085,2.3695435637683357
333,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,334,34,0.006577618885785341,0.0034375698305666447,0.004340090788900852,0.004224598407745361,0.0028514545410871506,1.8414040156803184
334,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,335,34,0.04275089129805565,0.0262724831700325,0.04217483475804329,0.03795228525996208,0.023422405123710632,2.2586079545483164
335,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,336,34,0.04294310510158539,0.016538366675376892,0.02068898268043995,0.019616644829511642,0.011652277782559395,2.1906556542702287
336,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,337,34,0.007026112172752619,0.004809844307601452,0.012967673130333424,0.005691356025636196,0.0030773687176406384,2.354404926144359
337,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,338,34,0.007743838243186474,0.004704066552221775,0.008884246461093426,0.0069533707574009895,0.00436211796477437,2.4226531410580807
338,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,339,34,0.08587875217199326,0.043102189898490906,0.03165236860513687,0.05191884562373161,0.028266368433833122,2.081909725278744
339,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,340,34,0.06125009432435036,0.03289007768034935,0.030088476836681366,0.027904415503144264,0.018891723826527596,2.493248894408278
340,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,341,35,0.04426804929971695,0.016335582360625267,0.022971585392951965,0.022741610184311867,0.01471258606761694,2.190846207735905
341,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,342,35,0.01450369507074356,0.007307333871722221,0.006781401578336954,0.021055931225419044,0.00617931317538023,2.4002152238967422
342,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,343,35,0.00016035258886404335,0.00010676741658244282,0.0011265396606177092,0.006180171389132738,0.0,2.2035312702453913
343,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,344,35,0.24824480712413788,0.05304476246237755,0.0926462858915329,0.09443749487400055,0.040461622178554535,2.156775823415711
344,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,345,35,0.06478487700223923,0.022990893572568893,0.13061445951461792,0.0385996550321579,0.014014262706041336,2.5346001194842778
345,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,346,35,0.021704569458961487,0.01261361874639988,0.025237133726477623,0.058814339339733124,0.010505689308047295,2.6481299511203673
346,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,347,35,0.07716819643974304,0.0440996028482914,0.1414279341697693,0.03803203999996185,0.021618332713842392,2.36226279545948
347,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,348,35,0.039756521582603455,0.022317977622151375,0.020898673683404922,0.04062033072113991,0.014120490290224552,2.369752860259941
348,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,349,35,0.060627494007349014,0.03915698081254959,0.26738590002059937,0.03982644900679588,0.027618739753961563,2.559478900326675
349,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,350,35,0.01649436727166176,0.013169428333640099,0.018421102315187454,0.01678251288831234,0.012681002728641033,2.569577227250189
350,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,351,36,0.010872525162994862,0.006094375625252724,0.009586354717612267,0.009694826789200306,0.004140479490160942,2.844015524326542
