,type,seed,difficulty,dnn_xs,dnn_m,lstm_xs,open_lstm_m,last_value,regression,arima,entropy
73,size_1000_seed_74_config_multi_sinusoidal_num_sin_8_lookback_10,74,8,0.020059362053871155,0.011595241725444794,0.03353450074791908,0.004678845871239901,0.007611280307173729,0.00477801329890887,0.0011389955985972302,3.1490442631768825
74,size_1000_seed_75_config_multi_sinusoidal_num_sin_8_lookback_10,75,8,0.02899939753115177,0.03638813644647598,0.07325724512338638,0.00808150414377451,0.014614429324865341,0.037987242592653875,0.0019016811720273708,4.195096457819121
75,size_1000_seed_76_config_multi_sinusoidal_num_sin_8_lookback_10,76,8,0.04074707627296448,0.022196786478161812,0.006625325884670019,0.0022432273253798485,0.010426035150885582,0.024311285773913078,0.002777632548830193,4.434270726113763
76,size_1000_seed_77_config_multi_sinusoidal_num_sin_8_lookback_10,77,8,0.018275126814842224,0.039984699338674545,0.010935020633041859,0.003359932219609618,0.02938590943813324,0.08478556059549254,0.006648534005875565,5.885724420466043
77,size_1000_seed_78_config_multi_sinusoidal_num_sin_8_lookback_10,78,8,0.042685020714998245,0.07127690315246582,0.042702123522758484,0.0012163418577983975,0.011209633201360703,0.003847629884878793,0.00450469017617845,2.9975664910746866
78,size_1000_seed_79_config_multi_sinusoidal_num_sin_8_lookback_10,79,8,0.02391132526099682,0.01675877533853054,0.006706753745675087,0.0016031160484999418,0.012552672997117043,0.017498827060063674,0.005487376277239717,4.232575112102352
79,size_1000_seed_80_config_multi_sinusoidal_num_sin_8_lookback_10,80,8,0.01517569087445736,0.03472915291786194,0.01306257862597704,0.0031493837013840675,0.013475452549755573,0.009549043118953706,0.002845372976878508,3.629319153323819
80,size_1000_seed_81_config_multi_sinusoidal_num_sin_9_lookback_10,81,9,0.01089924294501543,0.011119038797914982,0.029249828308820724,0.028215425089001656,0.007503905799239874,0.002597175558408107,0.0010867284822005019,3.051873761685201
81,size_1000_seed_82_config_multi_sinusoidal_num_sin_9_lookback_10,82,9,0.02372782491147518,0.03830243647098541,0.02051490545272827,0.003249683417379856,0.01196542102843523,0.02342563210831334,0.0034288232520689205,4.079307439341281
82,size_1000_seed_83_config_multi_sinusoidal_num_sin_9_lookback_10,83,9,0.003136481624096632,0.011869474314153194,0.035761818289756775,0.03269185125827789,0.0035240876022726297,0.0024508004983266195,0.0009148272299924465,3.094877620342615
83,size_1000_seed_84_config_multi_sinusoidal_num_sin_9_lookback_10,84,9,0.019734598696231842,0.016617869958281517,0.0028150808066129684,0.001588264713063836,0.006655514240264893,0.004005653520425166,0.001001731026471678,3.4184385759050695
84,size_1000_seed_85_config_multi_sinusoidal_num_sin_9_lookback_10,85,9,0.013691737316548824,0.030372263863682747,0.0035675421822816133,0.002045576460659504,0.012426036410033703,0.0191360347121954,0.004414136068837781,4.557282432169941
85,size_1000_seed_86_config_multi_sinusoidal_num_sin_9_lookback_10,86,9,0.0066819279454648495,0.010541338473558426,0.015562482178211212,0.0012768229935318232,0.004919798579066992,0.0034075478116671236,0.0008701148171737261,3.1307139601713616
86,size_1000_seed_87_config_multi_sinusoidal_num_sin_9_lookback_10,87,9,0.014365567825734615,0.03267262876033783,0.03352032229304314,0.005753745324909687,0.008969186805188656,0.00805365936458111,0.0022474324126825476,3.4470359465712517
87,size_1000_seed_88_config_multi_sinusoidal_num_sin_9_lookback_10,88,9,0.0027062161825597286,0.006125345826148987,0.003143024630844593,0.0018741765525192022,0.006512535735964775,0.00441325622797013,0.0008717858701659897,3.591801931909788
