,type,seed,difficulty,peephole_lstm_xs,peephole_lstm_s,peephole_lstm_m,open_lstm_xs,open_lstm_s,open_lstm_m,input_lstm_xs,input_lstm_s,input_lstm_m,lstm_xs,lstm_s,lstm_m,last_value_loss,entropy
20,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_10,21,3,0.024671591818332672,0.03409133851528168,0.002410757588222623,0.005285775754600763,0.006456512026488781,0.0033277636393904686,0.009777397848665714,0.0033741379156708717,0.0002922983549069613,0.008257781155407429,0.11339881271123886,0.007398026995360851,0.0006572637939825654,1.8754718688547898
21,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_10,22,3,0.003977018408477306,0.004544919356703758,0.00019232094928156585,0.010433588176965714,0.0003193602024111897,0.00011437922512413934,0.002427416853606701,0.004371726885437965,0.00011172711674589664,0.001567417406477034,0.0662553682923317,0.004174914211034775,0.0002678331802599132,1.8337223081921978
22,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_10,23,3,0.000971896864939481,0.001313155167736113,0.0006918540457263589,0.0024949372746050358,0.026369446888566017,0.00026165106100961566,0.0017231196397915483,0.0009743102127686143,0.000708538806065917,0.00357029284350574,0.08075125515460968,0.008583974093198776,0.0005690415273420513,1.8406898350263408
23,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_10,24,3,0.030389582738280296,0.027467627078294754,0.00012654782040044665,0.0015784144634380937,0.0016168516594916582,0.003070030827075243,0.0019541627261787653,0.00011412203457439318,0.005010996479541063,0.013030338101089,0.11741441488265991,0.002796916291117668,0.0009845751337707043,2.2010400685192644
24,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_10,25,3,0.07350173592567444,0.27276942133903503,0.02203316055238247,0.01511366106569767,0.01874980516731739,0.01239282451570034,0.008992587216198444,0.0009327306761406362,0.005467649549245834,0.07259485125541687,0.19876857101917267,0.20403240621089935,0.0014627879718318582,1.936805604652509
25,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_10,26,3,0.0015954631380736828,0.012253130786120892,0.008128476329147816,0.003169051371514797,0.006195176858454943,0.0019850025419145823,0.0008456349605694413,0.00251432741060853,0.0009534502169117332,0.03965264558792114,0.20785857737064362,0.0017602783627808094,0.0014599725836887956,2.2466840714292986
26,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_10,27,3,0.04341676086187363,0.05145992711186409,0.008458970114588737,0.021485939621925354,0.005659112241119146,0.012204513885080814,0.009737641550600529,0.0028251009061932564,0.016024237498641014,0.017981531098484993,0.38111281394958496,0.06949377059936523,0.003289473708719015,2.4014310603902635
27,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_10,28,3,0.009045826271176338,0.05415534973144531,0.011950936168432236,0.012371908873319626,0.08340965211391449,0.0009336428483948112,0.016385933384299278,0.0051324814558029175,0.0003559340548235923,0.05397152900695801,0.28963834047317505,0.01170338038355112,0.0025228518061339855,2.3837023048640056
28,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_10,29,3,0.06700002402067184,0.04535071551799774,0.039071206003427505,0.035218387842178345,0.04095153883099556,0.021052991971373558,0.004364790860563517,0.00028278111130930483,0.004728259984403849,0.007848707027733326,0.1353527158498764,0.07018265873193741,0.0013788220239803195,2.1991753356607813
29,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_10,30,3,0.02514217048883438,0.0014018500223755836,0.0008267545490525663,0.05164472013711929,0.00010128617577720433,0.0046536801382899284,0.019188793376088142,0.00010724604362621903,0.005135100334882736,0.03375912085175514,0.20079155266284943,0.0239187590777874,0.0012291300809010863,2.0718058430261443
30,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_10,31,4,0.15535053610801697,0.22437740862369537,0.022236132994294167,0.06124935671687126,0.20214883983135223,0.032462794333696365,0.010671326890587807,0.010093930177390575,0.006499068345874548,0.12872454524040222,0.3103830814361572,0.011416205205023289,0.0020924797281622887,1.0790914348198908
